央视卫视(IPV4),#genre#
河南卫视,http://183.136.148.214:9901/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://183.136.148.214:9901/tsfile/live/1013_1.m3u8?key=txiptv
深圳卫视,http://183.136.148.214:9901/tsfile/live/0126_1.m3u8?key=txiptv
钱江频道,http://183.136.148.214:9901/tsfile/live/1007_1.m3u8?key=txiptv
浙江经视,http://183.136.148.214:9901/tsfile/live/1008_1.m3u8?key=txiptv
谍战剧场,http://183.136.148.214:9901/tsfile/live/1009_1.m3u8?key=txiptv
民生休闲,http://183.136.148.214:9901/tsfile/live/1010_1.m3u8?key=txiptv
浙江新闻,http://183.136.148.214:9901/tsfile/live/1011_1.m3u8?key=txiptv
浙江少儿,http://183.136.148.214:9901/tsfile/live/1012_1.m3u8?key=txiptv
炫动卡通,http://183.136.148.214:9901/tsfile/live/1000_1.m3u8?key=txiptv
